Fecha;Concepto;Importe
02.01.16;OP.TARJ.COMPRA COMERCIO - STEAMGAMES.COM;-1,49
02.01.16;REINTEGRO CAJERO;-100
02.01.16;OP.TARJ.COMPRA COMERCIO - IBAR 93 S.L.;-39,07
04.01.16;S/ORD.TRANSF. - Alquiler;-500
05.01.16;OP.TARJ.COMPRA COMERCIO - NETFLIX.COM;-9,99
06.01.16;RECIBO (AD.SEPA) - FRACCIONA;-130,99
09.01.16;OP.TARJ.COMPRA COMERCIO -  CARREFOUR EXPRESS TORRE;-63,16
12.01.16;OP.TARJ.COMPRA COMERCIO -  CARREFOUR EXPRESS TORRE;-36,49
18.01.16;OP.TARJ.COMPRA COMERCIO -  PC COMPONENTES;-350,41
18.01.16;OP.TARJ.COMPRA COMERCIO - SIMYO;-7
20.01.16;OP.TARJ.COMPRA COMERCIO -  RENFE 001;-72,4
21.01.16;DEV.OP.TARJ.COMPRA COMERCIO -  EASYJET;18,09
25.01.16;RECIBO (AD.SEPA) -  IBERDROLA CLIENTES,SA;-35,89
25.01.16;RECIBO (AD.SEPA) -  Vodafone Ono, S.A.U.;-46
27.01.16;OP.TARJ.COMPRA COMERCIO -  CARREFOUR EXPRESS TORRE;-23,08
28.01.16;NOMINA;1.138,65
28.01.16;RECIBO (AD.SEPA) -  Simyo;-9,7
28.01.16;OP.TARJ.COMPRA COMERCIO -  RENFE 001;-53,9
29.01.16;OP.TARJ.COMPRA COMERCIO -  RENFE 001;-39,1
01.02.16;S/ORD.TRANSF. - Alquiler;-500
01.02.16;TRANSF. - Pepito;245
02.02.16;RECIBO (AD.SEPA) -  CRUZ ROJA;-10
02.02.16;REINTEGRO CAJERO;-200
02.02.16;OP.TARJ.COMPRA COMERCIO -  MERCADONA C DEL RIO;-28,67
03.02.16;RECIBO (AD.SEPA) - FRACCIONA;-130,99
06.02.16;COMIS.COMPRA EXTRANJERO;-0,4
06.02.16;OP.TARJ.COMPRA COMERCIO -  EASYJET;-242,87
06.02.16;OP.TARJ.COMPRA COMERCIO -  GIFFGAFF.COM - SLOUGH;-13,26
06.02.16;OP.TARJ.COMPRA COMERCIO - NETFLIX.COM;-9,99
11.02.16;RECIBO (AD.SEPA) -  CRUZ ROJA;-10
13.02.16;OP.TARJ.COMPRA COMERCIO -  EASYJET;-219,92
18.02.16;RECIBO (AD.SEPA) -  ENDESA ENERGIA XXI SL;-27,42
19.02.16;OP.TARJ.COMPRA COMERCIO -  RENFE 001;-33,3
21.02.16;OP.TARJ.COMPRA COMERCIO -  C Y A MODAS;-34,8
21.02.16;OP.TARJ.COMPRA COMERCIO - ALCAMPO;-37,36
23.02.16;RECIBO (AD.SEPA) -  IBERDROLA CLIENTES,SA;-37,18
25.02.16;RECIBO (AD.SEPA) -  Vodafone Ono, S.A.U.;-46
25.02.16;OP.TARJ.COMPRA COMERCIO - MERCADONA;-45,72
26.02.16;NOMINA;1.151,44
29.02.16;RECIBO (AD.SEPA) - CANAL DE ISABEL II GE;-23,33
01.03.16;NOMINA;135,69
01.03.16;S/ORD.TRANSF. - Alquiler;-500
01.03.16;REINTEGRO CAJERO;-200
02.03.16;RECIBO (AD.SEPA) -  Simyo;-13,15
03.03.16;RECIBO (AD.SEPA) - FRACCIONA;-130,99
04.03.16;OP.TARJ.COMPRA COMERCIO -  NETFLIX.COM;-9,99
07.03.16;CUOTA MANTENIMIENTO TARJETA;-15
11.03.16;RECIBO (AD.SEPA) - CRUZ ROJA;-10
14.03.16;OP.TARJ.COMPRA COMERCIO -  AUTO RES;-36,4
15.03.16;OP.TARJ.COMPRA COMERCIO -  ALSA ENATCAR;-27,97
16.03.16;INTRS.ACREEDORES ;0
17.03.16;OP.TARJ.COMPRA COMERCIO - NORWEGIAN;-226,9
19.03.16;OP.TARJ.COMPRA COMERCIO - BOCATERIA BUFIT;-26
23.03.16;RECIBO (AD.SEPA) -  IBERDROLA CLIENTES,SA;-38,5
24.03.16;REINTEGRO CAJERO;-80
28.03.16;OP.TARJ.COMPRA COMERCIO -  MERCADONA C DEL RIO;-28,11
29.03.16;RECIBO (AD.SEPA) -  Vodafone Ono, S.A.U.;-46
30.03.16;RECIBO (AD.SEPA) -  Simyo;-15,75
31.03.16;NOMINA;1.161,51
